Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2021-10-01,TCS,EQ,3775.55,3781.75,3810.0,3725.0,3728.65,3730.2,3747.99,1578374,591572534365000.0,132388,916682,0.5808
2021-10-04,TCS,EQ,3730.2,3724.8,3783.65,3707.45,3779.0,3773.3,3762.58,1356860,510529064150000.0,82301,783170,0.5772
2021-10-05,TCS,EQ,3773.3,3754.0,3840.0,3741.6,3839.1,3833.3,3785.15,1877966,710838585815000.0,107053,1088332,0.5795
2021-10-06,TCS,EQ,3833.3,3836.0,3857.45,3795.0,3813.8,3810.9,3830.18,1678154,642763431605000.0,105524,949703,0.5659000000000001
2021-10-07,TCS,EQ,3810.9,3830.0,3899.0,3820.05,3898.0,3892.9,3868.01,1647233,637152115100000.0,100510,693631,0.42110000000000003
2021-10-08,TCS,EQ,3892.9,3925.0,3989.9,3900.0,3943.0,3935.65,3947.83,2934339,1158428317470000.0,178433,1040830,0.3547
2021-10-11,TCS,EQ,3935.65,3755.0,3757.5,3660.0,3687.95,3685.6,3702.67,11845402,4385965807425000.0,704881,6606303,0.5577000000000001
2021-10-12,TCS,EQ,3685.6,3706.0,3707.0,3630.6,3656.2,3652.85,3658.54,5752877,2104712043000000.0,371571,3799131,0.6604000000000001
2021-10-13,TCS,EQ,3652.85,3650.0,3675.45,3645.0,3658.05,3655.2,3655.85,3545655,1296236665515000.0,228263,2564283,0.7232
2021-10-14,TCS,EQ,3655.2,3625.0,3670.0,3608.2,3614.8,3611.45,3626.77,6442299,2336472024930000.0,406019,4714726,0.7318000000000001
2021-10-18,TCS,EQ,3611.45,3603.45,3652.7,3601.45,3649.0,3647.15,3631.23,3590107,1303651779915000.0,213590,2407286,0.6705
2021-10-19,TCS,EQ,3647.15,3669.0,3690.1,3625.2,3634.45,3634.15,3661.85,3135441,1148150058185000.0,191609,1815161,0.5789
2021-10-20,TCS,EQ,3634.15,3612.0,3630.0,3578.3,3607.95,3608.85,3606.05,2933693,1057903933704999.9,175675,1685241,0.5744
2021-10-21,TCS,EQ,3608.85,3604.1,3607.45,3511.25,3532.85,3532.5,3546.27,4871211,1727465000455000.0,295349,3125514,0.6416
2021-10-22,TCS,EQ,3532.5,3560.0,3561.6,3485.0,3501.85,3498.85,3511.44,2691670,945165009945000.1,163976,1700467,0.6318
2021-10-25,TCS,EQ,3498.85,3503.0,3514.55,3450.0,3491.0,3492.95,3477.23,2595594,902547143360000.0,139684,1627737,0.6271
2021-10-26,TCS,EQ,3492.95,3494.5,3529.0,3475.0,3485.9,3482.6,3494.69,3878763,1355508510410000.0,155172,2821225,0.7273999999999999
2021-10-27,TCS,EQ,3482.6,3483.0,3511.25,3483.0,3488.45,3489.75,3495.53,2510813,877662012900000.0,122328,1766894,0.7037000000000001
2021-10-28,TCS,EQ,3489.75,3518.0,3518.0,3415.0,3423.0,3421.65,3450.19,2424942,836651172210000.0,187690,1497979,0.6177
2021-10-29,TCS,EQ,3421.65,3400.05,3461.0,3385.95,3404.0,3397.75,3424.21,3960501,1356160156760000.0,241935,2238879,0.5653
2021-11-01,TCS,EQ,3397.75,3437.95,3487.0,3412.95,3482.35,3476.4,3445.74,2020718,696287168890000.0,154841,1166862,0.5774
2021-11-02,TCS,EQ,3476.4,3494.0,3513.6,3469.75,3484.0,3484.2,3490.81,3087414,1077756715290000.0,134659,2067119,0.6695000000000001
